estado,id_tienda,ciudad,codigo_postal,direccion,latitud,longitud,no_tienda,nombre
BCN,14,Tijuana,22435,"S/N Col. Nueva Tijuana, Delegacion Meza de Otay",32.54,-116.98,15298-159705,Tijuana Airport Inside
BCN,15,Tijuana,22320,"Paseo de los Heroes , Zona Rio",32.52,-117.01,31869-114908,Paseo de los Heroes
BCN,16,Tijuana,22700,1302 Paseo del Pedregal,32.53,-117.12,32149-114975,Playas de Tijuana
BCN,17,Tijuana,22435,Carretera Aeropuerto s/n Col. Nueva,32.54,-116.98,20439-205549,Aeropuerto Tijuana II
BCN,18,Tijuana,,Boulevard Salinas,32.51,-117.01,32133-113704,Tijuana Salinas
BCN,19,Tijuana,22435,"Carretera Aeropuerto s/n nueva, Tijuana",32.54,-116.95,28015-249492,Apto. Tijuana Exterior
BCN,20,Tijuana,,"Paseo de los Heroes Zona Rio, Local 19",32.53,-117.02,31931-113585,Plaza Rio Tijuana
BCN,21,Tijuana,22010,"Paseo de Los Heroes #9902, Colonia Zona Rio",32.53,-117.03,29033-252215,Camino Real Tijuana
BCN,22,Tijuana,22710,"Blvd CorredorTijuana Rosarito, No. 21015",19.51,-99.23,15296-159704,Macroplaza Tijuana
BCN,23,Tijuana,22024,"Calle Hipodromo #12027-0, Col. Hipodromo Aguacaliente",32.51,-117,29669-254834,Hipodromo Caliente
BCS,24,Cabo San Lucas,23453,"Boulevard Marina Lote 7-D, Col La Marina",22.89,-109.91,17483-182364,Marina Cabo San Lucas
BCS,25,La Paz,23090,"Blvd. Pino Payas y Carreterra La Paz, Cd. Constitucion Local L100",24.12,-110.34,17257-180645,Plaza La Paz
BCS,26,La Paz,23050,"Calzada Forjadores de Sudcalifornia, N. 38, 39 y 40, Ex- Base Aérea",24.13,-110.31,19085-198605,La Paz Soriana
BCS,27,Los Cabos,23410,Blvd. Paseo de la Marina,22.89,-109.91,1898-141665,Marina Los Cabos
BCS,28,Los Cabos,23400,Blvd. Nauricio Castro no. 4650 Col.,23.04,-109.71,2103-141452,CM Los Cabos
BCS,29,Los Cabos,23420,"Carretera Transpenínsular, s/n km 43.5, Municipio San Jose del Cabo, B.C.S.",23.13,-109.71,18205-188644,Aeropuerto Los Cabos  II
BCS,30,Los Cabos,23420,Carretera Transpeninsular s/n km 43.5,23.13,-109.71,9035-151831,Aeropuerto Los Cabos 1
BCS,31,San Jose del Cabo,23406,"Carr. Transpeninsular km 29.5, Colonia La Jolla",23.04,-109.71,25757-242315,Plaza Peninsula Cabo
CAM,32,Campeche,24014,"Av Pedro Sainz de Barranda s/n  esq., Av. Darsena",19.86,-90.52,20432-205546,Galerias Campeche
CAM,33,Ciudad del Carmen,24180,"Av. Luis Donaldo Colosio # 58, Col. Limonar",18.65,-91.81,22225-218845,Zentralia Ciudad del Carmen
CHH,34,Chihuahua,31238,Blvd de la Juventud #5905,28.62,-106.12,32607-126546,Periferico de la Juventud
CHH,35,Chihuahua,3114,"Av. Periferico de la Juventud #5700, Desarrollo El Saucito",28.66,-106.13,18492-188944,Citadela Chihuahua
